books_etc
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),担当区分,著者(翻訳者)(日本語),著者(翻訳者)(英語),原著者(日本語),原著者(英語),担当範囲(日本語),担当範囲(英語),出版者・発行元(日本語),出版者・発行元(英語),概要(日本語),概要(英語),出版年月,総ページ数,担当ページ,記述言語,査読の有無,著書種別,国際共著,DOI,ISBN,URL,URL2,主要な業績かどうか,公開の有無
update,doc,,43160544,OpenCVとPythonによる機械学習プログラミング,,joint_translation,"Michael Beyeler, 池田聖, 浦西友樹, 中島悠太, 森尚平, 山添大丈, 山本豪志朗",,,,,,マイナビ,,,,2018-08,,,jpn,null,null,null,,,,,FALSE,disclosed
update,doc,,43160546,画像処理・機械学習プログラミング OpenCV3対応,,joint_work,"浦西友樹, 青砥隆仁, 井村誠孝, 大倉史生, 金谷一朗, 小枝正直, 中島悠太, 藤本雄一郎, 山口明彦, 山本豪志朗",,,,,,マイナビ,,,,2017-06,,,jpn,null,null,null,,,,,FALSE,disclosed
update,doc,,10430996,OpenCV 2 プログラミングブック,,contributor,OpenCV 2 プログラミングブック制作チーム,,,,,,毎日コミュニケーションズ,,,,2011-12,,,jpn,null,null,null,,,,,FALSE,disclosed
update,doc,,10447369,OpenCV プログラミングブック 第2版,,contributor,奈良先端科学技術大学院大学 OpenCVプログラミングブック制作チーム,,,,,,毎日コミュニケーションズ,,,,2009-07,,,jpn,null,null,null,,,,,FALSE,disclosed
update,doc,,10430998,OpenCV プログラミングブック,,contributor,奈良先端科学技術大学院大学 OpenCVプログラミングブック制作チーム,,,,,,毎日コミュニケーションズ,,,,2007-09,,,jpn,null,null,null,,,,,FALSE,disclosed
insert,merge,,,データ・AI利活用のための情報リテラシー入門,,joint_editor,"白井詩沙香, 天野由貴, 浦西友樹, 小野淳, 小林聖人, 竹村治雄, 田中冬彦, 千葉直也, 長瀧寛之, 西田知博, 村上正行",,,,,,培風館,,,,2025-04,,,jpn,null,null,null,,,,,FALSE,disclosed
insert,merge,,,OpenCV 3 プログラミングブック,,joint_work,"藤本雄一郎, 青砥隆仁, 浦西友樹, 大倉史生, 小枝正直, 中島悠太, 山本豪志朗",,,,,,マイナビ,,,,2015-09,,,jpn,null,null,null,,,,,FALSE,disclosed
